Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5",0603,2,1uF,
"C2, C4",0603,2,10nF,
C3,0603,1,2.2nF,
"C6, C7",0603,2,0.1uF,
D1,0603,1,LED RED,
D2,0603,1,LED BLUE,
D3,0603,1,LED GREEN,
E1,RAYTAC_MDBT42Q-512KV2,1,MDBT42Q-512KV2,
J1,Grove Connector,1,CH1,
J2,Grove Connector,1,CH2,
J3,Grove Connector,1,CH3,
J4,Grove Connector,1,CH4,
J5,Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical,1,TagConnect_TC2030-NL,
J6,CUI_PJ-202AH,1,PJ-202AH,
L1,0603,1,10nH,
L2,0603,1,15nH,
"R1, R2, R3",0603,3,R,
SW1,PinHeader_1x02_P2.54mm_Vertical,1,SW_DIP_x01,
U1,TXU0104QPWRQ1,1,TXU0104QPWRQ1,
U3,SOT-23-5,1,LP2985-3.3,
