Designator,Mid X,Mid Y,Rotation,Layer
C1,107.4425,-95.09,90.0,top
C2,111.33,-97.49,180.0,top
C3,116.18,-90.34,180.0,top
C4,140.38,-97.39,180.0,top
C5,139.08,-91.99,0.0,top
C6,168.83,-95.19,0.0,top
C7,170.53,-103.89,0.0,top
D1,123.53,-96.64,0.0,top
D2,123.505,-99.94,0.0,top
D3,123.38,-103.23,0.0,top
E1,149.83,-90.74,0.0,top
J1,166.93,-107.79,180.0,top
J2,154.93,-107.79,180.0,top
J3,142.93,-107.79,180.0,top
J4,130.93,-107.79,180.0,top
J6,110.23,-108.89,270.0,top
L1,141.33,-94.34,180.0,top
L2,137.18,-94.34,180.0,top
R1,128.03,-96.59,180.0,top
R2,127.93,-99.94,180.0,top
R3,127.83,-103.34,180.0,top
SW1,128.605,-92.69,90.0,top
U1,165.83,-100.19,270.0,top
U3,111.1425,-93.29,0.0,top
